distance,X,Y,Z,V,max,may,maz,mav
135.682,-0.177171,-3.902549,-8.073248,8.968757,-0.949,-3.612,-8.639,9.443
135.699,-0.268151,-4.371812,-10.601525,11.470702,-0.578,-3.913,-8.708,9.575
135.719,-1.685518,-5.24809,-11.48738,12.741402,-0.783,-4.275,-9.483,10.449
135.739,-0.90022,-4.932055,-10.711658,11.826884,-0.758,-4.614,-10.218,11.252
135.763,-0.110133,-4.07972,-8.628703,9.545196,-0.741,-4.658,-10.357,11.396
135.779,-0.248997,-3.256114,-7.37893,8.069255,-0.736,-4.379,-9.552,10.546
135.799,-0.407014,-2.557007,-8.207323,8.60605,-0.417,-3.706,-8.732,9.512
135.819,-1.307234,-3.500323,-9.083601,9.822063,-0.518,-3.348,-8.325,9.011
135.842,-0.42138,-3.691859,-8.920795,9.663745,-0.596,-3.251,-8.398,9.04
135.859,-0.699107,-4.084508,-9.907207,10.738933,-0.709,-3.458,-9.03,9.708
135.879,-0.440533,-5.066131,-10.01734,11.234182,-0.717,-4.086,-9.482,10.365
135.899,-0.751779,-4.663905,-10.208876,11.248926,-0.578,-4.377,-9.764,10.721
135.922,0.129287,-3.96001,-9.404425,10.204979,-0.441,-4.444,-9.884,10.857
135.939,-0.871489,-3.41892,-8.734048,9.419772,-0.484,-4.277,-9.591,10.527
135.959,-1.072602,-3.083732,-8.188169,8.8151,-0.642,-3.782,-9.134,9.922
135.979,-0.201113,-3.347094,-8.561666,9.194868,-0.504,-3.452,-8.722,9.409
136.003,-0.919373,-3.849876,-9.409213,10.207844,-0.766,-3.425,-8.723,9.409
136.019,-1.192312,-3.806781,-9.892841,10.666841,-0.846,-3.522,-9.013,9.721
136.039,-0.881066,-3.931279,-9.32781,10.160673,-0.798,-3.734,-9.298,10.058
136.059,-0.320823,-4.252102,-8.700529,9.689299,-0.828,-3.96,-9.333,10.181
136.079,0.043096,-4.060566,-8.485051,9.406707,-0.588,-4.013,-9.102,9.981
136.099,-0.746991,-4.161122,-9.509769,10.407144,-0.476,-4.101,-9.006,9.916
136.119,-0.703895,-4.060566,-10.831368,11.588883,-0.432,-4.134,-9.382,10.273
136.139,-1.345541,-4.007894,-10.534488,11.351173,-0.688,-4.073,-9.84,10.688
136.162,-0.713472,-3.74932,-8.657434,9.461374,-0.877,-3.995,-9.883,10.702
136.179,0.033519,-3.193865,-7.101202,7.786461,-0.682,-3.753,-9.281,10.047
