distance,sdX,meanX,sdY,meanY
15,0.2924,0.5131,0.4533,1.1546
16,0.3434,0.6678,0.545,0.8547
17,0.2221,0.4396,0.6434,1.0544
18,0.3573,0.2933,0.4395,0.9497
19,0.251,0.4011,0.6054,0.834
15,0.356,0.5553,0.5569,0.7497
16,0.2641,0.5699,0.5354,0.6607
17,0.3758,0.5826,0.577,0.597
18,0.2962,0.3937,0.5689,0.473
19,0.3728,0.5826,0.427,0.597
15,0.3524,0.5131,0.5533,1.1546
16,0.2634,0.6678,0.515,0.8547
17,0.3121,0.4396,0.6434,1.0544
