time,X,Y,Z,V,max,may,maz,mav
2.666,8.623915,-5.018247,-2.652776,10.324336,5.505,-7.538,-4.221,12.339
2.686,4.544195,-5.080496,-7.254431,9.954292,7.272,-5.954,-4.459,11.507
2.706,6.488286,-5.48751,-4.453215,9.593839,8.739,-5.418,-5.455,11.987
2.726,3.730166,-5.300763,-4.673482,7.990849,5.847,-5.222,-4.758,9.466
2.746,5.449203,-4.592079,-5.774815,9.172213,5.053,-5.115,-5.539,9.178
2.766,5.013458,-4.22816,-4.448427,7.924683,5.17,-4.902,-4.837,8.67
2.786,3.361459,-5.003881,-4.381389,7.452168,4.389,-4.781,-4.82,8.135
2.806,4.381389,-1.68073,-2.078167,5.132271,4.551,-3.876,-4.171,7.42
2.826,0.699107,-6.550536,-5.612009,8.654069,3.364,-4.366,-4.13,7.291
2.846,1.810017,-9.68694,-7.31668,12.273825,2.563,-5.731,-4.847,8.378
2.866,2.207454,-16.136919,-2.494758,16.477161,2.274,-8.514,-4.375,10.634
2.886,7.115568,-14.939818,-1.704672,16.635365,2.958,-11.829,-4.282,13.51
2.906,3.921702,-14.408306,-5.099649,15.779273,3.764,-13.793,-4.154,15.291
2.926,2.63841,-11.688493,-4.802769,12.909247,3.971,-14.293,-3.525,15.45
2.946,2.892196,-8.236053,-4.668694,9.899196,4.142,-12.318,-4.069,13.806
2.966,1.364695,-6.71813,-5.784391,8.969663,2.704,-10.263,-5.089,11.889
2.986,2.987964,-5.750873,-5.573701,8.547901,2.471,-8.098,-5.207,10.082
3.006,3.169923,-8.465898,-4.381389,10.045716,2.604,-7.293,-5.102,9.366
3.026,2.1883,-8.992621,-5.003881,10.521156,2.428,-7.482,-5.186,9.521
3.046,2.236184,-7.891289,-5.415684,9.828662,2.646,-7.775,-5.094,9.736
3.066,1.130063,-6.426037,-4.711789,8.048103,2.181,-7.944,-4.878,9.611
3.086,2.394202,-7.910442,-4.88896,9.602564,1.987,-7.805,-5.005,9.5
3.106,2.552219,-8.925584,-5.262455,10.671144,2.078,-7.788,-5.07,9.538
3.126,2.853889,-8.480263,-5.401319,10.451497,2.233,-7.936,-5.066,9.693
3.146,2.480393,-7.852982,-5.018247,9.643883,2.57,-8.292,-5.143,10.092
3.166,1.264138,-8.983045,-6.100426,10.931987,2.288,-8.56,-5.446,10.425
3.186,1.321599,-7.254431,-5.535394,9.220303,1.98,-8.143,-5.514,10.062
3.206,1.853112,-5.568913,-5.449203,8.008784,1.73,-7.415,-5.526,9.451
3.226,2.542642,-6.47871,-4.592079,8.338219,1.745,-7.071,-5.419,9.125
3.246,2.422932,-9.394848,-6.742072,11.814791,2.035,-7.174,-5.58,9.346
3.266,2.044648,-9.940725,-5.60722,11.594806,2.216,-7.846,-5.598,9.939
3.286,4.175488,-1.929727,-9.840169,10.862204,2.796,-6.936,-6.695,10.653
3.306,3.141193,-5.061342,-5.889736,8.376948,2.946,-6.582,-7.02,10.662
3.326,-0.325611,-5.190629,-5.770026,7.768002,2.259,-5.531,-6.777,9.65
3.346,1.613692,-9.552865,-7.991845,12.559093,2.151,-5.434,-7.373,9.892
3.366,-1.393425,-7.623138,-3.385401,8.456643,0.759,-6.857,-5.759,9.29
3.386,-0.268151,-6.856994,-7.603985,10.2426,-0.093,-7.306,-6.188,9.757
3.406,0.086191,-8.805874,-5.195418,10.224638,0.01,-8.21,-6.044,10.371
3.426,1.474828,-8.762778,-5.142745,10.2669,-0.025,-8.012,-5.332,9.798
3.446,0.593762,-3.007117,-5.956774,6.699139,0.472,-6.858,-5.975,9.358
3.466,-0.454898,-1.388637,-6.26802,6.436095,0.425,-5.491,-5.641,8.407
3.486,1.053449,-13.335704,-6.181829,14.736545,0.667,-6.624,-5.887,9.535
3.506,4.19943,-11.03727,-3.854665,12.422358,1.348,-7.192,-5.565,10.074
3.526,1.086968,10.271125,-11.798626,15.680723,1.471,-3.873,-7.026,12.319
3.546,-6.919243,-22.629995,-10.984597,26.089346,-0.145,-9.183,-8.205,17.232
3.566,-4.472369,-27.035326,-0.277727,27.404162,-1.526,-12.608,-6.729,20.399
3.606,9.423578,-8.432379,-6.564901,14.248045,2.103,-17.125,-5.721,20.821
3.626,2.427721,-3.854665,-6.976704,8.332266,4.44,-12.431,-4.719,16.381
3.646,2.035071,-4.031836,-7.771579,8.988584,6.067,-6.68,-6.592,11.777
3.666,-0.23942,-4.333505,-6.785168,8.054508,3.412,-5.163,-7.025,9.906
3.686,1.039083,-9.629479,-6.785168,11.825611,1.316,-5.462,-7.08,9.3
3.706,2.27928,-8.087613,-6.92882,10.890966,1.279,-6.521,-7.068,9.94
3.726,1.182736,-5.018247,-6.746861,8.491277,1.065,-6.767,-6.812,9.816
3.746,0.167594,-4.898537,-6.253655,7.945562,1.167,-6.908,-6.679,9.788
3.766,-0.770933,-4.098873,-6.459556,7.689016,0.715,-5.526,-6.597,8.754
3.786,-1.312023,-4.539406,-7.201759,8.613532,-0.183,-4.639,-6.665,8.185
3.806,2.097321,-8.681376,-7.728483,11.810779,0.045,-5.555,-6.911,9.015
3.826,2.466028,-9.050082,-7.852982,12.23334,0.62,-6.592,-7.311,10.087
3.846,3.241749,-9.289502,-8.159439,12.782028,1.623,-7.89,-7.736,11.36
3.866,0.632069,-4.41012,-6.847417,8.169197,2.109,-7.858,-7.647,11.249
3.886,1.49877,-8.09719,-7.331046,11.025199,1.96,-7.712,-7.548,11.052
3.906,0.833182,-6.435614,-7.426814,9.862498,1.551,-7.058,-7.441,10.46
3.926,0.02873,-7.82904,-7.129933,10.589175,0.748,-6.693,-7.184,9.912
3.946,0.612916,-7.445967,-7.321469,10.460497,0.743,-7.452,-7.302,10.484
3.966,0.924162,-7.469909,-7.015011,10.289023,0.6,-7.295,-7.223,10.3
3.986,1.005565,-6.200983,-7.010222,9.413106,0.643,-7.236,-7.119,10.188
4.006,1.063026,-5.889736,-7.019799,9.224782,0.901,-6.752,-7.092,9.847
4.026,1.292869,-5.046977,-7.560889,9.182076,1.071,-6.152,-7.151,9.527
4.046,0.976834,-6.416461,-7.206547,9.698427,1.085,-5.889,-7.199,9.38
4.066,0.368707,-7.005434,-7.254431,10.091522,0.925,-6.09,-7.26,9.549
4.086,0.670376,-7.354988,-7.302315,10.386003,0.827,-6.456,-7.331,9.84
4.106,0.742203,-6.555324,-7.220912,9.780834,0.69,-6.833,-7.246,9.989
