time,X,Y,Z,V,max,may,maz,mav
1561208211,0.766145,-1.719037,-7.613562,7.842728,1,-2.095,-9.679,10.021
1561800178,0.47884,-1.450886,-7.120356,7.282433,0.458,-2.103,-9.11,9.376
1561426419,0.11971,-1.690306,-6.177041,6.405255,0.286,-1.93,-7.714,7.97
1560466729,0.699107,-1.781286,-5.856217,6.160926,0.516,-1.66,-6.692,6.923
1559665792,1.015141,-1.340753,-7.613562,7.79708,0.578,-1.566,-6.692,6.911
1561542187,2.604892,-2.226608,-11.439496,11.941747,1.11,-1.76,-7.772,8.076
1560439316,2.753332,-3.730166,-14.346057,15.076616,1.768,-2.27,-9.814,10.244
1560108527,0.881066,-5.468357,-13.924677,14.985854,1.814,-3.191,-11.831,12.45
1559461748,1.73819,-4.486734,-12.172121,13.088645,1.994,-3.978,-12.971,13.773
1560676398,0.746991,-4.256891,-9.5385,10.471967,1.53,-4.486,-12.495,13.406
1561849543,2.217031,-2.738967,-7.905654,8.655433,1.396,-4.238,-10.885,11.801
1560648934,2.30801,-1.268927,-8.686164,9.076702,1.753,-3.188,-9.576,10.323
1560512139,1.517924,-2.245761,-11.7268,12.036003,1.697,-2.628,-9.464,10.06
1561238608,0.268151,-3.615245,-11.520899,12.07779,1.578,-2.467,-9.96,10.462
1561596744,-0.363919,-3.083732,-8.528147,9.075854,0.933,-2.553,-10.116,10.567
1560337731,0.737414,-2.954445,-6.004658,6.73264,0.54,-2.975,-9.445,9.981
1560654371,0.833182,-2.767697,-3.964798,4.906523,0.369,-3.105,-7.505,8.198
1559383649,3.117251,-1.795651,-3.581726,5.076453,1.081,-2.65,-5.52,6.448
1561137448,4.022259,-0.263362,-5.774815,7.042472,2.178,-1.945,-4.832,5.94
1559857123,3.797204,-1.556231,-11.439496,12.153299,2.942,-1.596,-6.19,7.295
1561906051,0.512359,-4.458004,-14.532804,15.209823,2.862,-2.018,-8.832,9.871
1561075243,-1.01993,-5.434838,-13.637373,14.71583,1.828,-2.928,-11.346,12.28
1561638286,-0.871489,-4.084508,-12.473791,13.154397,0.605,-3.883,-13.021,13.808
1561123639,0.167594,-3.371036,-9.423578,10.009785,-0.303,-4.337,-12.517,13.272
1561165753,0.895431,-2.403779,-7.671022,8.088544,-0.207,-3.824,-10.801,11.492
1559928046,0.833182,-1.584962,-8.259995,8.451853,0.256,-2.861,-9.457,9.926
1560041145,1.513135,-2.135628,-8.169016,8.578071,0.852,-2.374,-8.381,8.782
1559892042,1.733402,-1.522712,-7.627927,7.969228,1.244,-1.912,-7.932,8.272
1561374776,1.719037,-1.177947,-7.450756,7.736692,1.45,-1.605,-7.877,8.184
1561167706,1.134852,-1.47004,-8.528147,8.728012,1.525,-1.577,-7.944,8.253
1560366535,0.42138,-2.528277,-9.212888,9.562795,1.252,-1.675,-8.205,8.499
1560046439,1.154005,-2.537854,-8.451532,8.899485,1.107,-1.929,-8.411,8.732
1561044049,1.493982,-3.117251,-9.260772,9.884894,1.051,-2.413,-8.863,9.269
1561425372,1.747767,-3.715801,-12.152967,12.827957,1.204,-2.975,-9.77,10.294
1561428072,1.340753,-5.051765,-12.708423,13.74125,1.434,-3.606,-10.643,11.338
1559946464,1.996764,-4.122815,-10.477027,11.434718,1.645,-4.002,-11.15,11.972
1561407465,1.853112,-3.600879,-8.925584,9.801347,1.735,-4.123,-11.066,11.951
1559685141,1.853112,-3.552995,-8.456321,9.357733,1.761,-4.082,-10.142,11.084
1560316201,1.666364,-3.457227,-8.173804,9.029965,1.842,-3.683,-9.008,9.906
1559489451,1.675941,-2.710236,-9.150639,9.6896,1.762,-3.33,-8.677,9.47
1559323291,1.16837,-2.197877,-10.242394,10.540512,1.591,-2.98,-9.006,9.654
1561285734,0.397437,-2.102109,-9.80665,10.037291,1.227,-2.617,-9.343,9.824
1559513921,0.095768,-1.939303,-7.570466,7.815499,0.834,-2.237,-9.193,9.521
1559976168,0.909797,-1.647211,-5.291186,5.615842,0.643,-1.972,-8.228,8.502
1560603256,1.053449,-0.871489,-5.602432,5.766844,0.614,-1.64,-7.068,7.309
1560001413,0.933739,-1.01993,-7.742848,7.865356,0.748,-1.369,-6.552,6.766
1559916808,0.790087,-2.202666,-10.582372,10.838015,0.922,-1.435,-7.305,7.522
1559405729,0.335188,-2.614468,-12.3876,12.664929,0.778,-1.677,-9.079,9.284
1560424978,0.751779,-2.63841,-11.664551,11.982827,0.703,-2.119,-10.594,10.838
1560154211,0.076614,-2.341529,-11.176133,11.419044,0.488,-2.449,-11.453,11.726
1560140621,0.129287,-2.418144,-9.911995,10.203518,0.323,-2.503,-11.285,11.568
1561010966,-0.038307,-2.164358,-10.026917,10.257922,0.23,-2.391,-10.695,10.966
1559653271,0.071826,-2.786851,-11.722012,12.048952,0.06,-2.428,-10.709,10.982
1560041745,1.240196,-2.873042,-12.301409,12.693192,0.351,-2.561,-10.991,11.301
1561166195,1.307234,-2.786851,-12.028469,12.416097,0.645,-2.653,-11.52,11.854
1561681719,1.374272,-3.093309,-11.602302,12.085967,0.998,-2.885,-11.914,12.311
1560071972,0.521936,-3.466804,-9.758766,10.36941,1.111,-3.055,-11.423,11.891
1560403881,0.354342,-3.136404,-7.383718,8.030061,0.889,-3.121,-10.193,10.725
1559901513,0.790087,-2.27928,-5.544971,6.046988,0.76,-2.994,-8.572,9.133
1560650415,2.815581,-0.47884,-4.76925,5.559004,1.12,-2.34,-6.864,7.501
1561868043,2.695871,1.11091,-7.958326,8.475659,1.664,-1.196,-6.414,7.028
1560032084,-0.220267,-1.25935,-14.460979,14.517382,1.52,-0.727,-8.183,8.65
1561882916,-2.063802,-3.648763,-13.460202,14.097865,0.807,-1.069,-10.162,10.663
1559792761,-0.325611,-0.981623,-9.969456,10.022956,0.022,-1.195,-11.462,11.778
1561307580,0.402226,0.11971,-7.484274,7.496031,-0.552,-1.443,-11.344,11.534
1561193022,-0.3304,0.646434,-7.522582,7.557531,-0.579,-0.966,-9.609,9.794
1559430619,-1.225831,0.311246,-8.681376,8.773016,-0.37,0.024,-8.414,8.462
1561205627,-1.853112,0.172383,-10.515334,10.678763,-0.752,0.312,-8.551,8.626
1560345438,-0.622492,-1.091756,-11.45865,11.527362,-1.008,0.01,-9.545,9.634
1561012501,0.105345,-1.364695,-12.176909,12.253596,-0.899,-0.493,-10.708,10.808
1561013701,-0.225055,-2.834735,-11.439496,11.787639,-0.649,-1.28,-11.398,11.562
1560102782,0.387861,-3.318364,-9.490616,10.061499,-0.089,-2.152,-11.141,11.408
1560468304,0.991199,-3.126827,-9.275137,9.838074,0.315,-2.661,-10.596,10.985
1561126543,1.73819,-2.806004,-9.500193,10.057267,0.723,-3.021,-9.926,10.436
1560191159,2.442086,-3.342306,-9.667787,10.516695,1.39,-3.148,-9.483,10.118
1560714231,2.015918,-3.519476,-10.989386,11.713976,1.797,-3.199,-9.858,10.532
1561472741,1.355118,-3.768473,-9.797073,10.583968,1.888,-3.359,-9.989,10.718
1561658310,0.881066,-3.371036,-8.058883,8.779849,1.674,-3.5,-9.628,10.399
1560829741,1.393425,-2.217031,-7.187394,7.649542,1.411,-3.219,-9.008,9.682
1561593281,1.192312,-1.355118,-6.909666,7.141529,1.205,-2.678,-7.988,8.539
1559561333,1.565808,-1.422156,-6.210559,6.560894,1.258,-2.091,-7.092,7.533
1560312699,1.900996,-0.957681,-7.474698,7.771875,1.513,-1.488,-6.946,7.281
1560758290,1.814805,-0.727837,-9.902418,10.093619,1.618,-1.116,-7.624,7.892
1561326140,1.35033,-1.173159,-12.196063,12.326542,1.658,-1.07,-8.946,9.188
1559327480,-0.92895,-1.790863,-11.678916,11.851887,1.034,-1.162,-10.313,10.511
1561838961,-1.49877,-1.833959,-8.719683,9.035629,0.184,-1.381,-10.624,10.827
1561190869,0.114922,0.349553,-7.201759,7.211153,-0.241,-1.112,-9.949,10.106
1559335105,0.526724,0.052672,-7.187394,7.206861,-0.447,-0.806,-8.697,8.826
1561018744,0.095768,-1.216254,-9.270349,9.350284,-0.19,-0.662,-8.095,8.201
1559851751,1.436521,-1.086968,-11.587936,11.727121,0.543,-0.475,-8.812,8.874
1560596115,0.512359,-1.92015,-13.450625,13.596647,0.643,-1.043,-10.374,10.47
1560950915,0.095768,-3.562572,-12.08593,12.600428,0.535,-1.946,-11.599,11.819
1560283035,0.703895,-3.021482,-9.097966,9.612378,0.687,-2.398,-11.556,11.884
1560299786,1.412579,-1.546654,-8.269572,8.53073,0.681,-2.513,-10.726,11.085
1561629882,1.934515,-0.914585,-9.217676,9.462788,1.037,-2.261,-9.668,10.052
1559657978,1.771709,-2.240973,-9.423578,9.847067,1.456,-1.931,-9.002,9.363
1559342931,1.273715,-2.63841,-9.232041,9.68577,1.598,-1.835,-9.036,9.382
1560824448,-0.263362,-2.312799,-9.89763,10.167668,1.179,-2.027,-9.443,9.791
1561266066,1.345541,-2.882619,-8.226477,8.820141,1.032,-2.519,-9.195,9.63
1560395777,2.509123,-1.675941,-8.403648,8.92893,1.216,-2.377,-8.94,9.401
1560169056,0.92895,-1.513135,-10.34774,10.498965,1.13,-2.096,-9.219,9.604
1559668624,0.517148,-2.379837,-10.639832,10.914994,1.325,-2.113,-9.404,9.791
1561738318,0.617704,-1.398214,-9.370906,9.494758,1.143,-1.742,-9.691,9.959
1560811883,0.785298,-1.283292,-9.773131,9.888257,0.712,-1.644,-10.033,10.199
1560760945,0.866701,-1.154005,-11.583148,11.672712,0.697,-1.554,-10.342,10.493
1561490868,0.526724,-2.255338,-10.184934,10.444944,0.699,-1.523,-10.228,10.375
1559323976,1.125275,-1.359907,-8.599973,8.779244,0.826,-1.513,-10.035,10.196
1561491676,0.263362,-0.636858,-9.959879,9.983693,0.696,-1.352,-10.082,10.22
1559418599,0.181959,-1.16837,-9.188946,9.264714,0.524,-1.355,-9.483,9.618
1560280890,1.412579,-0.019154,-9.165004,9.273243,0.746,-0.796,-9.228,9.325
1560504294,0.555455,-0.550666,-11.281479,11.30856,0.603,-0.594,-9.899,9.958
1559323306,0.742203,-2.255338,-11.51611,11.758326,0.723,-0.998,-10.288,10.401
1560530761,-0.378284,-2.288857,-11.899182,12.123222,0.583,-1.279,-10.965,11.116
1559726603,0.335188,-2.499547,-10.400413,10.701807,0.314,-1.899,-11.274,11.473
1559860879,2.178724,-0.713472,-9.548077,9.819452,0.719,-1.939,-10.841,11.101
1559618390,0.852336,-1.082179,-10.869676,10.956616,0.747,-1.646,-10.679,10.9
1560869888,0.622492,-2.202666,-11.070788,11.304937,0.997,-1.624,-10.472,10.696
1561116562,0.158017,-1.996764,-8.987833,9.208321,0.953,-1.499,-10.119,10.322
1560278665,0.47884,-1.268927,-7.517793,7.639154,0.528,-1.638,-9.612,9.777
1561699178,0.80924,-0.790087,-7.613562,7.697105,0.517,-1.565,-8.798,8.962
1561796091,-0.138864,-1.268927,-8.992621,9.082769,0.327,-1.331,-8.278,8.407
1561451444,0.35913,-1.144428,-9.452309,9.528107,0.377,-1.118,-8.394,8.487
1560857754,1.015141,-0.560243,-8.523358,8.601861,0.511,-0.941,-8.645,8.727
1559896951,0.68953,-0.565032,-9.749189,9.789863,0.481,-0.885,-9.179,9.251
1560786882,0.344765,-1.642422,-11.152191,11.277756,0.602,-0.978,-9.719,9.799
1561752781,0.014365,-2.906561,-11.228806,11.598896,0.516,-1.419,-10.163,10.317
1559861370,-0.071826,-2.03986,-10.702082,10.894987,0.244,-1.788,-10.708,10.89
1561891701,0.622492,-2.03986,-8.695741,8.953459,0.227,-2.157,-10.445,10.681
1561756815,1.249773,-1.786075,-7.943961,8.237628,0.454,-2.193,-9.643,9.921
1561405217,1.910573,-1.508347,-7.058106,7.466074,0.928,-1.844,-8.6,8.888
